"Subject"	"Item"	"Order"	"Correct"	"Condition"	"Apt"	"Test"	"Score"
3	20	1	"gram"	"fill"	"match.both"	1	1
7	20	1	"gram"	"fill"	"match.both"	1	0
1	20	1	"gram"	"fill"	"match.both"	1	0
2	20	1	"gram"	"fill"	"match.CaseB"	1	0
4	20	1	"gram"	"fill"	"match.CaseB"	1	1
5	20	1	"gram"	"fill"	"match.CaseB"	1	0
7	41	2	"ungram"	"CaseA"	"match.both"	1	0
2	41	2	"ungram"	"CaseA"	"match.CaseB"	1	0
3	41	2	"ungram"	"CaseA"	"match.both"	1	1
4	41	2	"ungram"	"CaseA"	"match.CaseB"	1	0
1	41	2	"ungram"	"CaseA"	"match.both"	1	0
5	41	2	"ungram"	"CaseA"	"match.CaseB"	1	0
1	14	3	"gram"	"fill"	"match.both"	1	1
5	14	3	"gram"	"fill"	"match.CaseB"	1	1
7	14	3	"gram"	"fill"	"match.both"	1	1
4	14	3	"gram"	"fill"	"match.CaseB"	1	1
3	14	3	"gram"	"fill"	"match.both"	1	1
2	14	3	"gram"	"fill"	"match.CaseB"	1	1
4	5	4	"ungram"	"fill"	"match.CaseB"	1	1
7	5	4	"ungram"	"fill"	"match.both"	1	1
2	5	4	"ungram"	"fill"	"match.CaseB"	1	1
1	5	4	"ungram"	"fill"	"match.both"	1	1
5	5	4	"ungram"	"fill"	"match.CaseB"	1	0
3	5	4	"ungram"	"fill"	"match.both"	1	0
5	45	5	"ungram"	"CaseA"	"match.CaseB"	1	1
4	45	5	"ungram"	"CaseA"	"match.CaseB"	1	0
3	45	5	"ungram"	"CaseA"	"match.both"	1	1
2	45	5	"ungram"	"CaseA"	"match.CaseB"	1	0
1	45	5	"ungram"	"CaseA"	"match.both"	1	0
7	45	5	"ungram"	"CaseA"	"match.both"	1	1
5	52	6	"gram"	"CaseA"	"match.CaseB"	1	1
1	52	6	"gram"	"CaseA"	"match.both"	1	0
4	52	6	"gram"	"CaseA"	"match.CaseB"	1	0
2	52	6	"gram"	"CaseA"	"match.CaseB"	1	1
7	52	6	"gram"	"CaseA"	"match.both"	1	1
3	52	6	"gram"	"CaseA"	"match.both"	1	0
1	26	7	"ungram"	"CaseB"	"match.both"	1	1
7	26	7	"ungram"	"CaseB"	"match.both"	1	1
4	26	7	"ungram"	"CaseB"	"match.CaseB"	1	1
2	26	7	"ungram"	"CaseB"	"match.CaseB"	1	1
3	26	7	"ungram"	"CaseB"	"match.both"	1	0
5	26	7	"ungram"	"CaseB"	"match.CaseB"	1	1
4	31	8	"gram"	"CaseB"	"match.CaseB"	1	0
5	31	8	"gram"	"CaseB"	"match.CaseB"	1	0
3	31	8	"gram"	"CaseB"	"match.both"	1	1
2	31	8	"gram"	"CaseB"	"match.CaseB"	1	0
1	31	8	"gram"	"CaseB"	"match.both"	1	0
7	31	8	"gram"	"CaseB"	"match.both"	1	0
5	60	9	"gram"	"CaseA"	"match.CaseB"	1	0
4	60	9	"gram"	"CaseA"	"match.CaseB"	1	1
1	60	9	"gram"	"CaseA"	"match.both"	1	1
7	60	9	"gram"	"CaseA"	"match.both"	1	1
2	60	9	"gram"	"CaseA"	"match.CaseB"	1	1
3	60	9	"gram"	"CaseA"	"match.both"	1	0
1	1	10	"ungram"	"fill"	"match.both"	1	0
7	1	10	"ungram"	"fill"	"match.both"	1	0
4	1	10	"ungram"	"fill"	"match.CaseB"	1	1
5	1	10	"ungram"	"fill"	"match.CaseB"	1	1
2	1	10	"ungram"	"fill"	"match.CaseB"	1	1
3	1	10	"ungram"	"fill"	"match.both"	1	1
4	43	11	"ungram"	"CaseA"	"match.CaseB"	1	1
5	43	11	"ungram"	"CaseA"	"match.CaseB"	1	0
7	43	11	"ungram"	"CaseA"	"match.both"	1	0
2	43	11	"ungram"	"CaseA"	"match.CaseB"	1	1
3	43	11	"ungram"	"CaseA"	"match.both"	1	1
1	43	11	"ungram"	"CaseA"	"match.both"	1	1
4	8	12	"ungram"	"fill"	"match.CaseB"	1	0
5	8	12	"ungram"	"fill"	"match.CaseB"	1	0
1	8	12	"ungram"	"fill"	"match.both"	1	0
3	8	12	"ungram"	"fill"	"match.both"	1	0
7	8	12	"ungram"	"fill"	"match.both"	1	0
2	8	12	"ungram"	"fill"	"match.CaseB"	1	1
1	32	13	"gram"	"CaseB"	"match.both"	1	0
5	32	13	"gram"	"CaseB"	"match.CaseB"	1	1
7	32	13	"gram"	"CaseB"	"match.both"	1	1
4	32	13	"gram"	"CaseB"	"match.CaseB"	1	1
2	32	13	"gram"	"CaseB"	"match.CaseB"	1	1
3	32	13	"gram"	"CaseB"	"match.both"	1	1
2	23	14	"ungram"	"CaseB"	"match.CaseB"	1	0
7	23	14	"ungram"	"CaseB"	"match.both"	1	0
4	23	14	"ungram"	"CaseB"	"match.CaseB"	1	1
5	23	14	"ungram"	"CaseB"	"match.CaseB"	1	1
3	23	14	"ungram"	"CaseB"	"match.both"	1	1
1	23	14	"ungram"	"CaseB"	"match.both"	1	0
4	59	15	"gram"	"CaseA"	"match.CaseB"	1	1
5	59	15	"gram"	"CaseA"	"match.CaseB"	1	1
3	59	15	"gram"	"CaseA"	"match.both"	1	1
7	59	15	"gram"	"CaseA"	"match.both"	1	1
1	59	15	"gram"	"CaseA"	"match.both"	1	1
2	59	15	"gram"	"CaseA"	"match.CaseB"	1	0
1	4	16	"ungram"	"fill"	"match.both"	1	1
5	4	16	"ungram"	"fill"	"match.CaseB"	1	1
7	4	16	"ungram"	"fill"	"match.both"	1	0
4	4	16	"ungram"	"fill"	"match.CaseB"	1	1
3	4	16	"ungram"	"fill"	"match.both"	1	1
2	4	16	"ungram"	"fill"	"match.CaseB"	1	1
4	34	17	"gram"	"CaseB"	"match.CaseB"	1	1
7	34	17	"gram"	"CaseB"	"match.both"	1	0
2	34	17	"gram"	"CaseB"	"match.CaseB"	1	1
1	34	17	"gram"	"CaseB"	"match.both"	1	1
5	34	17	"gram"	"CaseB"	"match.CaseB"	1	0
3	34	17	"gram"	"CaseB"	"match.both"	1	1
5	44	18	"ungram"	"CaseA"	"match.CaseB"	1	0
4	44	18	"ungram"	"CaseA"	"match.CaseB"	1	0
3	44	18	"ungram"	"CaseA"	"match.both"	1	0
2	44	18	"ungram"	"CaseA"	"match.CaseB"	1	1
1	44	18	"ungram"	"CaseA"	"match.both"	1	1
7	44	18	"ungram"	"CaseA"	"match.both"	1	1
1	35	19	"gram"	"CaseB"	"match.both"	1	1
4	35	19	"gram"	"CaseB"	"match.CaseB"	1	1
7	35	19	"gram"	"CaseB"	"match.both"	1	1
2	35	19	"gram"	"CaseB"	"match.CaseB"	1	1
5	35	19	"gram"	"CaseB"	"match.CaseB"	1	1
3	35	19	"gram"	"CaseB"	"match.both"	1	1
4	33	20	"gram"	"CaseB"	"match.CaseB"	1	0
5	33	20	"gram"	"CaseB"	"match.CaseB"	1	0
7	33	20	"gram"	"CaseB"	"match.both"	1	1
2	33	20	"gram"	"CaseB"	"match.CaseB"	1	0
3	33	20	"gram"	"CaseB"	"match.both"	1	0
1	33	20	"gram"	"CaseB"	"match.both"	1	0
1	51	21	"gram"	"CaseA"	"match.both"	1	1
7	51	21	"gram"	"CaseA"	"match.both"	1	1
